Interactor_A	Interactor_B
Dsor1	caz
Dsor1	Lamtor3
Syx1A	Bacc
Syx1A	EP718
Syx1A	Vha100-1
Syx1A	Csp
Syx1A	EP2
Syx1A	Pdk
Syx1A	Etl1
Syx1A	kis
Syx1A	stmA
Syx1A	Gmd
Syx1A	CG3760
Syx1A	EP704
Syx1A	Syt4
Syx1A	EP1244
Syx1A	EP454
Syx1A	RpS23
Syx1A	MESR4
Syx1A	Act42A
Syx1A	aop
Syx1A	EP364
Syx1A	Vti1a
Syx1A	Sec22
Syx1A	Snap29
Syx1A	Ykt6
Syx1A	alphaSnap
Syx1A	Membrin
Syx1A	Syx8
Syx1A	gammaSnap1
Syx1A	Sec20
Syx1A	Bet1
Syx1A	Rme-8
Syx1A	Syx16
Syx1A	Syx18
Syx1A	AttD
Syx1A	Use1
Syx1A	Gos28
Syx1A	Past1
Syx1A	Syx13
Syx1A	Slh
Syx1A	koko
Syx1A	Vamp7
Syx1A	Nsf2
Syx1A	pnut
Syx1A	gammaSnap2
Syx1A	Snap24
Syx1A	cpx
Syx1A	Syx7
Syx1A	TBPH
Bacc	Tbh
Bacc	loqs
Bacc	PHGPx
Bacc	Ho
Bacc	Snx3
Bacc	CG8891
Bacc	Nph
Bacc	Akr1B
Bacc	capt
Bacc	HINT1
Bacc	CG11267
Bacc	CG2852
Bacc	Chd64
Bacc	Ugt316A1
Bacc	GstO3
Bacc	RhoGDI
Bacc	CG10638
Bacc	Mdh2
Bacc	grsm
Bacc	CG8036
Bacc	Prx2540-2
Bacc	Sh3beta
Bacc	Pez
Bacc	Nacalpha
Bacc	fabp
Bacc	p23
Bacc	CG14715
Bacc	AhcyL1
Bacc	Sumo
Bacc	REPTOR-BP
Bacc	CG17385
Bacc	Pdi
Pc	Hsc70-4
Pc	bur
Pc	hpo
Pc	Dsp1
Pc	ebi
Pc	psq
Pc	rdx
Pc	Caf1-55
Pc	gpp
Pc	tara
Pc	wts
Pc	Caf1-180
Pc	Usp7
Pc	Vha55
Pc	mor
Pc	Trl
Pc	Asx
Pc	tna
Pc	brm
Pc	Mi-2
Pc	Scm
Pc	corto
Pc	E(Pc)
Pc	enok
Pc	l(3)80Fj
Pc	vtd
Pc	pcm
Pc	kis
Pc	lolal
Pc	Su(Pc)37D
Pc	Pcl
Pc	Kdm2
Pc	Haspin
Pc	osa
Pc	trx
Pc	His3
Pc	jing
Pc	ph-p
Pc	wg
Pc	Rm62
Pc	chm
Pc	upSET
Pc	HDAC1
Pc	Hsp83
Pc	Adf1
Pc	nej
Pc	btl
Pc	scf
Pc	Nipped-B
Pc	pds5
Pc	tou
Pc	Sam-S
Pc	dom
Pc	salm
Pc	Sirt1
Pc	mbf1|pcm
Pc	Scr
Pc	M(3)80
Pc	ph-d
Pc	dome
Pc	Su(Pc)35CD
Pc	eff
Pc	esc
Pc	Marcal1
Pc	Bap170|polybromo
Pc	urd
Pc	sxc
Pc	Hcf
Pc	Abd-B|chm
Pc	Abd-B
Pc	Nsf2
Pc	skd
Pc	M(2)56F
Pc	lawc
Pc	SMC1
Pc	E(z)
Pc	kto
Pc	mbf1
Pc	Dll
Pc	mxc
Pc	Bap170|e(y)3
Pc	sls
Pc	Sce
Pc	Psc
Pc	Taf5
Pc	Tbp
Pc	Taf4
Pc	stau
Pc	brat
Pc	Polr2A
Pc	Su(var)205
Pc	Su(z)2
Pc	Sfmbt
Pc	Pp1-87B
Pc	SMC3
Pc	fs(1)h
Pc	Eaf6
Pc	grh
Pc	Br140
Pc	br
Pc	TfIIB
Pc	PR-Set7
Pc	stx
Pc	Nup93-1
Pc	Nup93-2
Pc	CCT7
Hsc70-4	aux
Hsc70-4	Rme-8
Hsc70-4	Csp
Hsc70-4	H
Hsc70-4	Tsc1
Hsc70-4	Tcs3
lola	rib
lola	futsch
lola	for
lola	robo1
lola	sli
lola	Tbh
rib	zip
rib	Moe
rib	crb
rib	lolal
rib	CG5003
rib	Ada2b
rib	Mad
rib	CG34376
rib	CG17195
nmo	Clk
nmo	bsk
nmo	shg
nmo	net
nmo	arm
nmo	Vang
nmo	tkv
nmo	pan
nmo	Dl
nmo	H
nmo	Dad
nmo	pk
nmo	spi
nmo	sgg
nmo	Ptp99A
nmo	Tak1
nmo	mthl8
nmo	unc-13-4A
nmo	N
nmo	E(spl)mβ-HLH
nmo	msn
nmo	dpp
nmo	Egfr
nmo	zip
nmo	Jra
nmo	CG32373
nmo	miple1
nmo	sca
nmo	px
nmo	Axn
nmo	sgl
Clk	wake
Clk	cyc
Clk	sxc
Clk	Oga
Clk	Atx2
Clk	CkIIalpha
Clk	Cka
Clk	Strip
Clk	Bap55
Clk	Bap111
Clk	Bap60
Clk	nej
Clk	Usp8
Clk	mir-ban
Clk	SNF4Agamma
Clk	Nipped-A
upd1	Dad
upd1	dap
upd1	bun
upd1	dpp
upd1	NFAT
upd1	crb
upd1	mir-14
upd1	CtBP
upd1	Sox100B
upd1	jim
upd1	dome
upd1	Cip4
upd1	sqh
upd1	hop
upd1	Brd
upd1	gl
upd1	tkv
upd1	Ssdp
upd1	Mob2
upd1	D
upd1	Ras85D
upd1	BRWD3
upd1	Stat92E
upd1	WASp
upd1	clu
upd1	Dl
upd1	pAbp
upd1	sax
upd1	Ten-m
upd1	hh
upd1	Cdk1
upd1	Hipk
upd1	N
upd1	His2Av
upd1	CG17574
upd1	spri
upd1	put
upd1	esg
upd1	Rho1
upd1	Krn
upd1	poly
upd1	Lamp1
upd1	pie
upd1	lilli
upd1	upd2
upd1	Ipk2
upd1	CycA
upd1	Myc
upd1	CG4306
upd1	mthl8
upd1	Cdk4|CycD
upd1	cpo
upd1	hdc
upd1	Egfr
upd1	Socs36E
upd1	l(1)3Ag
upd1	Mad
upd1	Sodh-2
upd1	kto
upd1	px
upd1	CCT7
upd1	Csk
upd1	rux
upd1	E(bx)
upd1	trbl
upd1	BHD
upd1	et
upd1	CG32982
upd1	Cdk4
upd1	BuGZ
upd1	dally
upd1	mir-279
upd1	mir-bft
upd1	Imp
upd1	lin-28
Dad	Rho1
Dad	nwk
Dad	Art1
Dad	Cln7
Dad	Nlg4
Dad	Dap160
Dad	tkv
Dad	Mbs
Dad	sqh
Dad	Lpin
Dad	arm
Dad	MAN1
Dad	Hip14
Dad	Mov10
Pink1	Mitofilin
Pink1	park
Pink1	Zip99C
Pink1	Trap1
Pink1	clu
Pink1	Tom40
Pink1	foxo
Pink1	dj-1β
Pink1	ref(2)P
Pink1	ND-42
Pink1	Tim8
Pink1	pum
Pink1	Pop2
Pink1	TER94
Pink1	AGO1
Pink1	Opa1
Pink1	Rel
Pink1	APP-BP1
Pink1	Uch
Pink1	Paris
Pink1	Drp1
Pink1	Khc
Pink1	milt
Pink1	Miro
Pink1	gfzf
Pink1	Ucp4A
Pink1	mAcon1|Drp1
Pink1	trc
Pink1	glo
Pink1	cnc
Pink1	Lon
Pink1	PyK|Uch
Pink1	Sirt1
Pink1	gw
Pink1	N
Pink1	Sin1
Pink1	sicily
Pink1	rictor
Pink1	PyK
Pink1	Mcad
Pink1	Marf
Pink1	Pgam5
Pink1	STUB1
Pink1	mask
Pink1	mfrn
Pink1	HtrA2
Pink1	Ret
Pink1	eIF4G1
Pink1	Tom20
Pink1	Tim13
Pink1	Sirt1|foxo
Pink1	DOR
Pink1	Tsf1
Pink1	AMPKα
Pink1	Tom7
Pink1	cn
Pink1	heix
Pink1	DCP2
Pink1	DJ-1α
Pink1	DCP1
Pink1	Nmdmc
Pink1	Usp30
Pink1	srl
Pink1	Thor
Pink1	fwd
Pink1	Trim9|Uch
Pink1	Uch|ref(2)P
Pink1	mAcon1
Pink1	Mul1
Pink1	dnk
Pink1	Shmt
Pink1	Parp
Pink1	Trim9
Pink1	CG5676|Uch
Pink1	CG5676
Pink1	Dhpr
Pink1	GstO2
Pink1	Sod2
Pink1	Buffy
Pink1	Tg
Pink1	Atg1
Pink1	Fer3HCH
Pink1	Keap1
Pink1	Lrrk
Pink1	Vps35
Pink1	cnc|ref(2)P
Pink1	crc
Pink1	Ucp4B
Pink1	Pi3K21B
Pink1	β4GalNAcTA
Pink1	BNIP3|Uch
Pink1	Uch|zda
Pink1	chico
Pink1	PEK
Pink1	Ucp4C
Pink1	Chchd2
Pink1	rho-7
Pink1	mir-11
Pink1	larp
Mitofilin	Adck1
Mitofilin	CG8004
Mitofilin	CG7639
Mitofilin	Opa1
Mitofilin	Zzzz\poly-GR
Alg3	egr
Alg3	bsk
Alg3	hpo
Alg3	grnd
Alg3	wts
egr	lic
egr	Lrrk
egr	Tab2
egr	Mkk4
egr	POSH
egr	Diap1
egr	nopo
egr	puc
egr	Uev1A
egr	Dronc
egr	Vav
egr	Traf6
egr	Mmp1
egr	dsh
egr	bsk
egr	Sos
egr	esc
egr	Tak1
egr	Myc
egr	Rab7
egr	hep
egr	PpV
egr	POSH|Rel
egr	Akt|POSH
egr	ben
egr	lncRNA:Hsrω
egr	aspr
egr	slpr::Tak1
egr	hid
egr	msn
egr	pan
egr	Glyat
egr	Rac1
egr	wgn
egr	Pten
egr	wal
egr	Hsp60D
egr	arm
egr	G56
egr	HUWE1
egr	Cat
egr	fmt
egr	wg
egr	Rab21
egr	G87
egr	Marf
egr	Rho1
egr	CYLD
egr	hrm
egr	CtBP
egr	grnd
egr	ebi
egr	kay
egr	Dark
egr	sgg
egr	PpV|fmt
egr	hep|lic
egr	Toll-7
egr	rpr
egr	apt
egr	Tace
egr	Uba1
egr	Cyt-c-d
egr	Apc2
egr	PHGPx
egr	Rab5
egr	Rel
egr	Mtl|Rac1|Rac2
egr	Edem1
egr	Sec8
egr	Sec15
egr	Sec5
N	H
N	sd
N	Su(H)
N	Gp150
N	E(spl)m7-HLH
N	Tlk
N	CG42709
N	E(spl)mδ-HLH
N	Cdk9
N	Nle
N	Tbp
N	Dl
N	su(N)
N	E(spl)mβ-HLH
N	wg
N	eIF4A
N	kis
N	neur
N	pnt
N	stg
N	Egfr
N	SERCA
N	Xbp1
N	dap
N	Nedd4
N	Sos
N	S
N	sAB1
N	dx
N	anon-XIV
N	dsh
N	ptc
N	Sin3A
N	M285
N	pk
N	mir-13a
N	e(fa<up>swb</up>)
N	spen
N	Antp
N	Opa1
N	E(spl)m8-HLH
N	Kap-α3
N	Rbfox1
N	rn
N	shams
N	mahe
N	insc
N	pygo
N	Traf6
N	α4GT1
N	ena
N	mir-ban
N	Xxylt
N	Myc
N	krz
N	Rac1
N	sm
N	ed
N	klu
N	anon-XXIV
N	dgrn
N	Sox100B
N	Hs3st-B
N	Su(dx)
N	btl::Egfr
N	Sirt1
N	emc
N	trio
N	lola
N	Catsup
N	Hex-A
N	Hsc70-4
N	f06222
N	hrg
N	p53
N	E(Egfr)B56
N	sgg
N	CycE
N	Past1
N	Su(Tpl)
N	pan
N	lark
N	l(2)gd1
N	GPHR
N	jigr1
N	anon-IX
N	tkv
N	RpL15
N	Nipped-B
N	mam
N	rictor
N	ct
N	Pcyt1
N	Chi
N	Rab6
N	Egm
N	Nipped-A
N	sca
N	bun
N	numb
N	ifx
N	Chc
N	arm
N	Mo25
N	fru
N	Ero1L
N	tal
N	wupA
N	cp
N	par-1
N	Amun
N	fng
N	Prosβ6
N	lolal
N	Cdk9|E(spl)mγ-HLH
N	frc
N	rho
N	Acn
N	Hipk
N	Su(var)3-3
N	Taf9
N	Apc
N	snama
N	anon-XII
N	anon-XIII
N	Abl
N	Bre1
N	vtd
N	Dsor1
N	trr
N	anon-XV
N	Caf1-105
N	kuz
N	upd3
N	toe
N	fra
N	cpb
N	Stim
N	Atg4b
N	orb2
N	E(nd)195
N	Pi3K68D
N	Xxylt|shams
N	Pak
N	dpn
N	bib
N	CtBP
N	trbl
N	enok
N	Psn
N	Pcif1
N	eH3
N	PRAS40
N	ebi
N	phyl
N	msi
N	chinmo
N	PEK
N	Marf
N	upd2
N	Marf|Myc
N	sno
N	E(spl)mγ-HLH
N	Prosβ2
N	N::Mmus\Notch1
N	CycG
N	eyg
N	insv
N	Sxl
N	RpL19
N	anon-XX
N	Ldh
N	Kdm5
N	px
N	Drp1
N	Rtf1
N	cno
N	mir-278
N	crb
N	α-Cat
N	mir-2c
N	gl
N	Btk
N	N::sev
N	chn
N	Hr3
N	RpL38
N	A122
N	anon-XVIII
N	E(Egfr)C22
N	dpp
N	EP595b
N	bsk
N	Ndfip
N	aux
N	eK6
N	anon-XXIII
N	Vha55
N	RpS5a
N	esg
N	Nct
N	Akt
N	fj
N	srl
N	E(Egfr)C12
N	lqf
N	Acsl
N	pyd
N	mng
N	ND-75
N	Su(spl)
N	vn
N	tra
N	bs
N	EP383
N	N::tor
N	Mtl|Rac1|Rac2
N	e(r)
N	sng
N	CkIIα
N	RpL13A
N	HnRNP-K
N	ab
N	anon-VIII
N	Nrt
N	fred
N	hbs
N	L
N	dom
N	Pink1|Myc
N	klg
N	E(spl)m8-HLH::E(spl)m5-HLH
N	gro
N	anon-XVI
N	erm
N	E(spl)m8-HLH::E(spl)mδ-HLH
N	Pink1|Su(H)
N	insb
N	rumi
N	Pkc98E
N	shg
N	Abl|Nrt
N	sAM16
N	vg
N	Hip1
N	CRMP
N	Lk6
N	mys
N	B-H1
N	eZ6
N	EP595a
N	CG12084
N	Dcr-1
N	su(fa<up>swb</up>)
N	Pngl
N	CG10916
N	wry
N	Eogt
N	spdo
N	ND-30
N	Kap-alpha3
N	Caf1-55
N	Caf1-180
N	msn
N	Cdk8
N	MED21
N	MED31
N	TBPH
N	MED17
N	lilli
N	uif
N	O-fut1
N	Akap200
N	Vps26
N	Vps35
N	htk
H	lilli
H	Su(H)
H	dap
H	aop
H	qsm
H	eca
H	numb
H	ppo
H	tkv
H	CycG
H	Hr4
H	insv
H	brm
H	wdb
H	CASK
H	pzg
H	cno
H	Su(dx)
H	boss
H	Egfr
H	sax
H	gro
H	dpp
H	rho
H	sty
H	msn
H	bchs
H	ac|sc
H	Eip78C
H	ed
H	CtBP
H	Tlk
H	Eps-15
H	Prosβ2
H	S
H	insc
H	tutl
H	Diap1
H	CkIα
H	Snr1
H	l(2)k10113
H	trbl
H	lap
H	cnk
H	Past1
H	emc
H	puc
H	Arl1
H	CycB3
H	MESR4
H	Rga
H	Rok
H	Cul4
H	nej
H	klu
H	kuz
H	lace
H	px
H	amn
H	Mnr
H	hv
H	Rbfox1
H	heix
H	CycB
H	Dad
H	HDAC1
H	vn
H	kibra
H	Rho1
H	hep
H	EP1595
H	sd
H	lola
H	Sec61α
H	Sin3A
H	mam
H	EP3104
H	net
H	14-3-3ζ
H	Ser
H	esg
H	mew
H	dve
H	Sirt1
H	if
H	E(spl)m8-HLH
H	Smr
H	dsh
H	kay
H	bsk
H	CG5986
H	neur
H	CG14478|Tes|insb|qkr54B
H	Amun
H	Rac2
H	B
H	ckd
H	Imp
H	CG14478|Tes|qkr54B
H	Nab2
H	hrg
H	Prosβ6
H	so
H	spen
H	EP639
H	lz
H	CG8788
H	cv-d
H	CG11779
H	Kdm5
H	sno
H	dx
H	EP1410
H	bs
H	baz
H	Dsp1
H	muc
H	ey
H	eyg
H	Atg4b
H	aos
H	sna
H	Men
H	ft
H	EP383
H	CG12084
H	run
H	Rpt2
H	mir-124
H	asf1
H	nito
H	Rel
Raf|RhoGEF2	Rho1
Raf|RhoGEF2	zip
Raf|RhoGEF2	Rok
Rho1	cta
Rho1	CE2-1
Rho1	Rab5
Rho1	RhoGEF2
Rho1	Parp
Rho1	SNF4Aγ
Rho1	α-Cat
Rho1	fra
Rho1	Rok
Rho1	p120ctn
Rho1	RhoGEF64C
Rho1	ena
Rho1	rin
Rho1	dia
Rho1	Cdc42
Rho1	pbl
Rho1	Rab11
Rho1	lilli
Rho1	Mbs
Rho1	tsr
Rho1	Tak1|slpr
Rho1	Atf3
Rho1	cyst
Rho1	crb
Rho1	Pura
Rho1	Pax
Rho1	bsk
Rho1	fz
Rho1	conu
Rho1	cv-c
Rho1	sqh
Rho1	robo1
Rho1	CE3-1
Rho1	Fim
Rho1	capu
Rho1	PlexA
Rho1	Cdc37
Rho1	puc
Rho1	RhoGDI
Rho1	mwh
Rho1	Fhos
Rho1	wnd
Rho1	RhoGAP18B
Rho1	wash
Rho1	scra
Rho1	PlexB
Rho1	slpr
Rho1	RhoGAP100F
Rho1	Pkn
Rho1	bel
Rho1	Slik
Akt	foxo
Akt	trbl
Akt	Girdin
Akt	PRL-1
Akt	Pdk1
Akt	Tsc1|gig
Akt	Tl
Akt	Sesn
Akt	rictor
Akt	hppy
Akt	wdb
Akt	Wdr62
Akt	gig
Akt	Tsc1
Akt	Thor
Akt	Gfat2
Akt	Pss
Akt	Ptp61F
Akt	egr
Akt	slmb
Akt	Afg3l2
Akt	SERCA
Akt	RpS9
Akt	Dref
Akt	Ipo9
Akt	CG15784
Akt	Rpt4
Akt	CCT7
Akt	Rpn5
Akt	GstE7
Akt	Pp2A-29B
Akt	CG9281
Akt	mRpL12
Akt	Ost48
Akt	Shmt
Akt	RpL17
Akt	Rack1
Akt	Rpt1
Akt	CCT5
Akt	Hel25E
Akt	RpS7
Akt	CG3808
Akt	Akap200
Akt	cathD
Akt	ScsbetaG
Akt	clu
Akt	hts
Akt	eIF2gamma
Akt	Rpt5
Akt	CG2614
Akt	wal
Akt	Kap-alpha3
Akt	CG8036
Akt	alphaCOP
Akt	pic
Akt	26-29-p
Akt	Rpn9
Akt	SsRbeta
Akt	Srlp
Akt	RpL9
Akt	CG1416
Akt	UQCR-C2
Akt	Desat1
Akt	Pdha
Akt	ScsbetaA
Akt	FASN1
Akt	Rpt6
Akt	Tctp
Akt	eIF4G1
Akt	Nap1
Akt	CCT4
Akt	Droj2
Akt	pch2
Akt	PCB
Akt	CCT8
Akt	Arc42
Akt	eIF2alpha
Akt	l(2)09851
Akt	deltaCOP
Akt	blw
Akt	Nfs1
Akt	PyK
Akt	lic
Akt	Rpn10
Akt	Sply
Akt	Mcad
Akt	ATPsyngamma
Akt	nst
Akt	Vha68-2
Akt	cpa
Akt	CCT2
Akt	MetRS
Akt	Rpn13
Akt	Psa
Akt	fax
Akt	CG1129
Akt	CG33303
Akt	Nph
Akt	cpb
Akt	l(1)G0320
Akt	eEF1alpha1
Akt	CCT6
Akt	AsnRS
Akt	Kcmf1
Akt	sqd
Akt	Hsp60A
Akt	Rpn1
Akt	yps
Akt	smid
Akt	Drice
Akt	RpS16
Akt	Scox
Akt	Mkk4
Akt	Lon
Akt	GCS2beta
Akt	Rpt2
Akt	RpL31
Akt	TER94
Akt	betaTub60D
foxo	srl
foxo	whd
foxo	14-3-3ε
foxo	rictor
foxo	futsch
foxo	S6k
foxo	Cln3
foxo	trbl
foxo	Nos
foxo	Ras64B
foxo	path
foxo	Lrrk
foxo	for
foxo	Fer2
foxo	Tctp
foxo	Thor
foxo	bsk
foxo	Xbp1
foxo	CG1139
foxo	Gycα99B
foxo	Rheb
foxo	Pten
foxo	Gycβ100B
foxo	wdb
foxo	Tor|path
foxo	mts
foxo	usp
foxo	hep
foxo	dj-1β
foxo	pan
foxo	alt
foxo	Sarm
foxo	Nop60B
foxo	Syp
foxo	RpS19b
foxo	sqd
foxo	glo
foxo	bsf
foxo	RpS6
foxo	vig2
foxo	RpS26
foxo	CG31550
foxo	Caf1-55
foxo	rump
foxo	AGO2
foxo	Cdc5
foxo	Mink
foxo	pit
foxo	Mi-2
foxo	larp
foxo	RpS7
foxo	Prp19
foxo	pic
foxo	Pak3
foxo	Nup358
foxo	alpha-Spec
foxo	CG3817
foxo	pzg
foxo	Zn72D
foxo	CG30122
foxo	kis
foxo	Claspin
foxo	RpL19
foxo	Kr-h1
foxo	CG32121
foxo	CrebB
foxo	da
foxo	CG17803
foxo	cbt
foxo	CG33695
foxo	Spps
foxo	Dlip3
foxo	exex
foxo	BtbVII
foxo	CG32772
foxo	CG31955
foxo	schlank
foxo	CG31460
foxo	Vsx2
foxo	CG17801
foxo	bun
foxo	Antp
foxo	rn
foxo	CG4730
aos	ebi
aos	ca
aos	Diap1
aos	Socs44A
aos	RpL38
aos	lz
aos	Dsor1
aos	S
aos	ncm
aos	Gug
aos	rho
aos	SM3-8
aos	cln
aos	bul
aos	EM3-1
aos	nmo
aos	SM3-2
aos	SM3-3
aos	sty
aos	Pi3K68D
aos	pnt
aos	soba
aos	SM3-6
aos	pix
aos	rho-5
aos	E-3c4
aos	Egfr
aos	rl
aos	Dl
aos	Ras85D
aos	SM2-1
aos	E-3c7
aos	lep
aos	msk
aos	Prp8
aos	E-3c1
aos	Diap2
aos	ed
aos	Vav
aos	p
aos	vn
aos	RpL5
aos	cd
aos	salm
aos	Hsp60D
aos	rb
aos	Edem2
aos	rno
aos	sip3
aos	Dcr-2
aos	Raf
aos	Fas2
aos	spi
ebi	Dcr-2
ebi	crb
ebi	puc
ebi	rno
ebi	Dl
ebi	hep
ebi	Jra
ebi	Diap1
ebi	Pa1
RpS3|yki	grnd
RpS3|yki	Diap1
RpS3|yki	hep
RpS3|yki	bsk
RpS3|yki	egr
RpS3|yki	puc
RpS3|yki	Dronc
RpS3|yki	Tak1
grnd	hep
grnd	Traf6
grnd	veli
Abl::Hsap\ABL1::Hsap\BCR	fra
fra	Abl
fra	Src64B
fra	mys
fra	fra::unc-5
fra	tutl
fra	RhoGEF64C
fra	robo1
fra	robo2
fra	trio
fra	ena
fra	Src42A
fra	drl
fra	comm
fra	Src42A|Src64B
fra	Dscam3|Dscam1
fra	unc-5
fra	Dscam1
fra	mew
fra	mud
fra	siz
fra	Trim9
fra	NetB
kermit	fz
kermit	Sema1a
kermit	jar
kermit	Gyc76C
kermit	zip
kermit	Dhc64C
kermit	Khc
kermit	mwh
kermit	fy
kermit	Vang
kermit	Cdc42
kermit	sqh
kermit	Gαo
kermit	CG7102
fz	Vang
fz	fw
fz	dco
fz	stan
fz	Jra
fz	bsk
fz	ATP6AP2
fz	fy
fz	dsh
fz	numb
fz	fz::fz2
fz	Egfr
fz	Gαo
fz	Wnt4
fz	pk
fz	sty
fz	in
fz	dgo
fz	N
fz	ck
fz	Ras85D
fz	grh
fz	Nhe2
fz	mwh
fz	aos
fz	tow
fz	zip
fz	sqh
fz	Dl
fz	fz2
fz	ds
fz	ft
fz	sgg
fz	Rab23
fz	ed
fz	wg
fz	arm
fz	kay
fz	nkd
fz	drl
fz	Rok
fz	bdg
